[2025/2/6 0:41:0] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 0:41:0] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 0:41:34] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 0:41:34] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:8:15] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:8:15] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:10:38] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:10:38] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:12:15] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:12:15] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:14:30] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:14:30] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:15:14] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:15:14] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:19:28] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:19:28] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:32:49] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:32:49] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:33:46] INFO (main:22) - 테스트 대상 서버 및 허브 서비스 초기화 중: 서버 IP=192.168.0.22, 포트=12345 [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
[2025/2/6 1:33:46] INFO (main:23) - 로컬 서버 및 허브 스캔 시작. [ScanResults: HubId=Hub_1234. Logs=012345 ; ]
